celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,agg_week_1,rank_of_week_1,agg_week_2,rank_of_week_2,agg_week_3,rank_of_week_3,agg_week_4,rank_of_week_4,agg_week_5,rank_of_week_5,agg_week_6,rank_of_week_6,agg_week_7,rank_of_week_7,agg_week_8,rank_of_week_8,agg_week_9,rank_of_week_9,agg_week_10,rank_of_week_10,agg_week_11,rank_of_week_11,episodes_participated,var_week_1,var_week_2,var_week_3,var_week_4,var_week_5,var_week_6,var_week_7,var_week_8,var_week_9,var_week_10,var_week_11,season_mean_week_variance,season_flag,avg_weekly_rank,final_rank_parsed,episodes_participated_parsed,rank_difference,season_flag_parsed,avg_agg_score,avg_week_variance
Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,,Italy,42,19,Eliminated Week 7,8,6,6,6,7,8,7,8,8,7,7,7,8,7,7,7,8,8,6,7,7,7,7,7,7,7,7.5,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,10.0,31.0,5.0,29.0,8.0,29.0,6.0,28.0,6.0,28.0,8.0,29.5,7.0,,,,,,,,,7,20.08284023668639,8.972222222222223,18.446280991735534,30.2,29.555555555555557,12.024691358024691,8.99609375,39.6734693877551,11.722222222222221,8.0,0.5208250075000004,17.108563702881977,True,7.142857142857143,8.0,7,-0.8571428571428568,True,28.5,17.108563702881977
Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,19,Eliminated Week 6,9,8,7,7,8,7,7,8,8,8,8,8,8,6,6,6,6,6,6,6,6,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,6.0,30.0,7.0,32.0,4.0,24.0,10.0,24.0,7.0,32.0,5.0,,,,,,,,,,,6,20.08284023668639,8.972222222222223,18.446280991735534,30.2,29.555555555555557,12.024691358024691,8.99609375,39.6734693877551,11.722222222222221,8.0,0.5208250075000004,17.108563702881977,True,6.5,9.0,6,-2.5,True,28.666666666666668,17.108563702881977
Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,19,Eliminated Week 9,6,8,8,8,8,9,8,9,9,7,8,8,8,10,10,10,9,9,8,8,9,8,8,8,8,8.5,8.5,9,9,8,8,8,8,8.5,9,8.5,9,0,0,0,0,0,0,0,0,32.0,3.0,35.0,1.0,31.0,7.0,39.0,2.0,34.0,2.0,32.0,5.0,35.0,2.0,32.0,5.0,35.0,5.0,,,,,9,20.08284023668639,8.972222222222223,18.446280991735534,30.2,29.555555555555557,12.024691358024691,8.99609375,39.6734693877551,11.722222222222221,8.0,0.5208250075000004,17.108563702881977,True,3.5555555555555554,6.0,9,-2.4444444444444446,True,33.888888888888886,17.108563702881977
Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,19,3rd Place,3,7,7,7,8,9,8,8,9,10,10,10,10,9,9,9,9,8,8,8,9,8,7,9,9,8.5,8,8.5,8.5,10.75,10.75,10.75,10.75,9.5,9.5,10,9.5,9.5,9.5,10,10,9.6666,10,9.6666,9.6666,29.0,7.0,34.0,2.0,40.0,1.0,36.0,4.0,33.0,4.0,33.0,4.0,33.5,4.0,43.0,1.0,38.5,1.0,39.0,1.0,38.99980000000001,3.0,11,20.08284023668639,8.972222222222223,18.446280991735534,30.2,29.555555555555557,12.024691358024691,8.99609375,39.6734693877551,11.722222222222221,8.0,0.5208250075000004,17.108563702881977,True,2.909090909090909,3.0,11,-0.09090909090909083,True,36.1818,17.108563702881977
Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,19,1st Place,1,9,9,9,9,8,8,8,8,8,8,8,8,10,10,10,10,8,9,9,8,10,10,9,10,8.5,8.5,8.5,8.5,10.75,9.75,9.75,10.75,9.5,9.5,9.5,10,9.5,9,9.5,9.5,10,10,10,10,36.0,1.0,32.0,4.0,32.0,4.0,40.0,1.0,34.0,2.0,39.0,1.0,34.0,3.0,41.0,2.0,38.5,1.0,37.5,3.0,40.0,1.0,11,20.08284023668639,8.972222222222223,18.446280991735534,30.2,29.555555555555557,12.024691358024691,8.99609375,39.6734693877551,11.722222222222221,8.0,0.5208250075000004,17.108563702881977,True,2.090909090909091,1.0,11,1.0909090909090908,True,36.72727272727273,17.108563702881977
Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,19,Eliminated Week 1,13,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,12.0,,,,,,,,,,,,,,,,,,,,,1,20.08284023668639,8.972222222222223,18.446280991735534,30.2,29.555555555555557,12.024691358024691,8.99609375,39.6734693877551,11.722222222222221,8.0,0.5208250075000004,17.108563702881977,True,12.0,13.0,1,-1.0,True,22.0,17.108563702881977
Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,19,Eliminated Week 3,11,8,7,8,8,7,7,7,7,7,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,5.0,28.0,8.0,26.0,11.0,,,,,,,,,,,,,,,,,3,20.08284023668639,8.972222222222223,18.446280991735534,30.2,29.555555555555557,12.024691358024691,8.99609375,39.6734693877551,11.722222222222221,8.0,0.5208250075000004,17.108563702881977,True,8.0,11.0,3,-3.0,True,28.333333333333332,17.108563702881977
Tommy Chong,Peta Murgatroyd,Comedian,,Canada,76,19,Eliminated Week 10,5,7,6,7,7,7,7,7,7,8,10,8,8,7,7,7,7,6,6,5,6,7,7,7,7,7.5,7.5,7.5,7.5,6.75,7.75,7.75,6.75,7,7.5,7,7,8,7.5,8,7.5,0,0,0,0,27.0,9.0,28.0,8.0,34.0,3.0,28.0,8.0,23.0,8.0,28.0,8.0,30.0,6.0,29.0,6.0,28.5,6.0,31.0,5.0,,,10,20.08284023668639,8.972222222222223,18.446280991735534,30.2,29.555555555555557,12.024691358024691,8.99609375,39.6734693877551,11.722222222222221,8.0,0.5208250075000004,17.108563702881977,True,6.7,5.0,10,1.7000000000000002,True,28.65,17.108563702881977
Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,19,Eliminated Week 4,10,5,5,5,5,7,7,7,7,7,9,6,7,8,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,13.0,28.0,8.0,29.0,8.0,29.0,6.0,,,,,,,,,,,,,,,4,20.08284023668639,8.972222222222223,18.446280991735534,30.2,29.555555555555557,12.024691358024691,8.99609375,39.6734693877551,11.722222222222221,8.0,0.5208250075000004,17.108563702881977,True,8.75,10.0,4,-1.25,True,26.5,17.108563702881977
Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,19,Eliminated Week 8,7,7,6,6,6,6,6,6,6,7,7,7,7,6,6,6,7,5,5,5,5,8,7,8,7,7,7,7,7,6,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,25.0,10.0,24.0,12.0,28.0,10.0,25.0,9.0,20.0,9.0,30.0,7.0,28.0,8.0,25.0,7.0,,,,,,,8,20.08284023668639,8.972222222222223,18.446280991735534,30.2,29.555555555555557,12.024691358024691,8.99609375,39.6734693877551,11.722222222222221,8.0,0.5208250075000004,17.108563702881977,True,9.0,7.0,8,2.0,True,25.625,17.108563702881977
Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,19,Eliminated Week 2,12,7,7,8,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,7.0,28.0,8.0,,,,,,,,,,,,,,,,,,,2,20.08284023668639,8.972222222222223,18.446280991735534,30.2,29.555555555555557,12.024691358024691,8.99609375,39.6734693877551,11.722222222222221,8.0,0.5208250075000004,17.108563702881977,True,7.5,12.0,2,-4.5,True,28.5,17.108563702881977
Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,19,Eliminated Week 11,4,8,8,8,8,8,9,8,8,10,10,10,10,8,8,8,9,8,8,8,8,9,9,9,9,9.5,9,9.5,9.5,9.75,9.75,9.75,10.75,9,9.5,9.5,9,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,32.0,3.0,33.0,3.0,40.0,1.0,33.0,5.0,32.0,5.0,36.0,2.0,37.5,1.0,40.0,3.0,37.0,3.0,38.0,2.0,38.0,4.0,11,20.08284023668639,8.972222222222223,18.446280991735534,30.2,29.555555555555557,12.024691358024691,8.99609375,39.6734693877551,11.722222222222221,8.0,0.5208250075000004,17.108563702881977,True,2.909090909090909,4.0,11,-1.0909090909090908,True,36.04545454545455,17.108563702881977
Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,19,2nd Place,2,8,8,9,9,8,7,8,8,8,8,8,8,9,10,9,9,9,9,9,9,9,10,8,8,7.5,7.5,8,8,9,9,10,10,9,9.5,9,9,9,9.5,9.5,9,10,9.6666,10,9.6666,34.0,2.0,31.0,5.0,32.0,4.0,37.0,3.0,36.0,1.0,35.0,3.0,31.0,5.0,38.0,4.0,36.5,4.0,37.0,4.0,39.333200000000005,2.0,11,20.08284023668639,8.972222222222223,18.446280991735534,30.2,29.555555555555557,12.024691358024691,8.99609375,39.6734693877551,11.722222222222221,8.0,0.5208250075000004,17.108563702881977,True,3.3636363636363638,2.0,11,1.3636363636363638,True,35.16665454545455,17.108563702881977
Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,20,Eliminated Week 5,9,6,6,6,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,25.0,8.0,28.0,6.0,25.0,8.0,28.0,9.0,28.0,5.0,,,,,,,,,,,,,5,9.416666666666666,11.409722222222221,19.33884297520661,12.85,29.80246913580247,2.109375,12.77551020408163,14.479166666666666,0.6875,3.5555555555555554,,11.642480842620182,True,7.2,9.0,5,-1.7999999999999998,True,26.8,11.642480842620182
Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,20,Eliminated Week 7,7,6,6,6,7,8,8,8,8,8,8,8,8,10,9,10,10,8,8,9,9,9.5,8.5,9,9.5,9.5,9.5,9.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,25.0,8.0,32.0,2.0,32.0,4.0,39.0,1.0,34.0,4.0,36.5,2.0,39.0,2.0,,,,,,,,,7,9.416666666666666,11.409722222222221,19.33884297520661,12.85,29.80246913580247,2.109375,12.77551020408163,14.479166666666666,0.6875,3.5555555555555554,,11.642480842620182,True,3.2857142857142856,7.0,7,-3.7142857142857144,True,33.92857142857143,11.642480842620182
Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,20,2nd Place,2,8,7,8,8,8,8,8,8,9,7,9,9,8,8,9,9,10,9,9,10,10,8.5,9.5,10,9,10,9,9,10,9,10,10,10,10,10,10,10,10,10,10,,,,,31.0,2.0,32.0,2.0,34.0,1.0,34.0,4.0,38.0,2.0,38.0,1.0,37.0,4.0,39.0,2.0,40.0,1.0,40.0,1.0,,,10,9.416666666666666,11.409722222222221,19.33884297520661,12.85,29.80246913580247,2.109375,12.77551020408163,14.479166666666666,0.6875,3.5555555555555554,,11.642480842620182,True,2.0,2.0,10,0.0,True,36.3,11.642480842620182
Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,20,1st Place,1,8,8,8,8,8,8,8,8,8,9,8,8,9,8,9,9,10,9,10,10,9,8.5,8.5,9.5,8.5,9.5,9.5,9.5,10,10,10,10,10,9.5,9.5,10,10,10,10,10,,,,,32.0,1.0,32.0,2.0,33.0,3.0,35.0,3.0,39.0,1.0,35.5,4.0,37.0,4.0,40.0,1.0,39.0,3.0,40.0,1.0,,,10,9.416666666666666,11.409722222222221,19.33884297520661,12.85,29.80246913580247,2.109375,12.77551020408163,14.479166666666666,0.6875,3.5555555555555554,,11.642480842620182,True,2.3,1.0,10,1.2999999999999998,True,36.25,11.642480842620182
Nastia Liukin,Derek Hough,Athlete,,Russia,25,20,Eliminated Week 9,4,7,7,8,8,9,8,8,9,9,8,9,8,9,8,9,10,9,9,10,10,9.5,8.5,9,9.5,10.75,9.75,9.75,10.75,9.5,9.5,9.5,9.5,10,10,10,10,0,0,0,0,,,,,30.0,3.0,34.0,1.0,34.0,1.0,36.0,2.0,38.0,2.0,36.5,2.0,41.0,1.0,38.0,3.0,40.0,1.0,,,,,9,9.416666666666666,11.409722222222221,19.33884297520661,12.85,29.80246913580247,2.109375,12.77551020408163,14.479166666666666,0.6875,3.5555555555555554,,11.642480842620182,True,1.7777777777777777,4.0,9,-2.2222222222222223,True,36.388888888888886,11.642480842620182
Michael Sam,Peta Murgatroyd,Athlete,Texas,United States,25,20,Eliminated Week 4,10,6,6,7,7,7,7,7,7,6,6,6,6,7,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,26.0,5.0,28.0,6.0,24.0,9.0,30.0,7.0,,,,,,,,,,,,,,,4,9.416666666666666,11.409722222222221,19.33884297520661,12.85,29.80246913580247,2.109375,12.77551020408163,14.479166666666666,0.6875,3.5555555555555554,,11.642480842620182,True,6.75,10.0,4,-3.25,True,27.0,11.642480842620182
Robert Herjavec,Kym Johnson,Entrepreneur,,Croatia,52,20,Eliminated Week 8,6,7,7,7,7,7,7,7,7,7,7,8,7,8,9,8,9,6,6,6,6,8.5,8,8.5,8.5,7,8,8,8,7.5,7.5,8.5,7.5,0,0,0,0,0,0,0,0,,,,,28.0,4.0,28.0,6.0,29.0,6.0,34.0,4.0,24.0,9.0,33.5,8.0,31.0,6.0,31.0,6.0,,,,,,,8,9.416666666666666,11.409722222222221,19.33884297520661,12.85,29.80246913580247,2.109375,12.77551020408163,14.479166666666666,0.6875,3.5555555555555554,,11.642480842620182,True,6.125,6.0,8,0.125,True,29.8125,11.642480842620182
Charlotte McKinney,Keo Motsepe,Model,Florida,United States,21,20,Eliminated Week 3,11,6,5,5,6,7,6,7,6,6,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,22.0,11.0,26.0,11.0,22.0,10.0,,,,,,,,,,,,,,,,,3,9.416666666666666,11.409722222222221,19.33884297520661,12.85,29.80246913580247,2.109375,12.77551020408163,14.479166666666666,0.6875,3.5555555555555554,,11.642480842620182,True,10.666666666666666,11.0,3,-0.3333333333333339,True,23.333333333333332,11.642480842620182
Noah Galloway,Sharna Burgess,Motivational Speaker,Alabama,United States,33,20,3rd Place,3,7,6,6,7,7,6,7,7,7,7,8,8,8,8,8,8,7,7,7,7,8.5,8,8.5,9,10.5,8.5,9.5,9.5,8,7.5,8,8,9.5,9.5,9.5,9.5,9,9,9,9,,,,,26.0,5.0,27.0,10.0,30.0,5.0,32.0,6.0,28.0,5.0,34.0,6.0,38.0,3.0,31.5,5.0,38.0,4.0,36.0,3.0,,,10,9.416666666666666,11.409722222222221,19.33884297520661,12.85,29.80246913580247,2.109375,12.77551020408163,14.479166666666666,0.6875,3.5555555555555554,,11.642480842620182,True,5.2,3.0,10,2.2,True,32.05,11.642480842620182
Redfoo,Emma Slater,Singer/Rapper,California,United States,39,20,Eliminated Week 2,12,6,5,5,6,8,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,22.0,11.0,31.0,5.0,,,,,,,,,,,,,,,,,,,2,9.416666666666666,11.409722222222221,19.33884297520661,12.85,29.80246913580247,2.109375,12.77551020408163,14.479166666666666,0.6875,3.5555555555555554,,11.642480842620182,True,8.0,12.0,2,-4.0,True,26.5,11.642480842620182
Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Pennsylvania,United States,70,20,Eliminated Week 6,8,7,6,6,6,7,7,7,7,6,5,5,6,8,7,7,8,7,6,7,7,9,8,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,25.0,8.0,28.0,6.0,22.0,10.0,30.0,7.0,27.0,7.0,34.0,6.0,,,,,,,,,,,6,9.416666666666666,11.409722222222221,19.33884297520661,12.85,29.80246913580247,2.109375,12.77551020408163,14.479166666666666,0.6875,3.5555555555555554,,11.642480842620182,True,7.333333333333333,8.0,6,-0.666666666666667,True,27.666666666666668,11.642480842620182
Chris Soules,Witney Carson,TV Personality,Iowa,United States,33,20,Eliminated Week 8,5,7,6,6,7,5,6,5,5,7,7,7,7,7,6,7,7,7,6,7,7,9,8,9,9,8,7,8,8,8,7.5,8.5,8,0,0,0,0,0,0,0,0,,,,,26.0,5.0,21.0,12.0,28.0,7.0,27.0,10.0,27.0,7.0,35.0,5.0,31.0,6.0,32.0,4.0,,,,,,,8,9.416666666666666,11.409722222222221,19.33884297520661,12.85,29.80246913580247,2.109375,12.77551020408163,14.479166666666666,0.6875,3.5555555555555554,,11.642480842620182,True,7.0,5.0,8,2.0,True,28.375,11.642480842620182
Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,21,Eliminated Week 4,10,5,5,5,,5.5,5.5,5.5,,6,7,6,6,5,6,5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,15.0,9.0,16.5,12.0,25.0,9.0,16.0,10.0,,,,,,,,,,,,,,,4,18.485207100591715,8.443786982248522,21.85,15.239999999999998,22.469135802469136,31.061728395061728,0.546875,7.3471183771428565,4.284722222222222,3.796875,0.7500750018749999,12.2068658074192,True,10.0,10.0,4,0.0,True,18.125,12.206865807419199
Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,21,Eliminated Week 9,6,7,7,8,,7.5,7.5,8,,9,9,9,9,7,7,7,,10,10,10,10,8,7,7,8,9,9.5,9,,9.6666,8.6666,8.6666,,10,10,10,,0,0,0,,0,0,0,,22.0,5.0,23.0,3.0,36.0,1.0,21.0,8.0,40.0,1.0,30.0,7.0,27.5,5.0,26.9998,5.0,30.0,1.0,,,,,9,18.485207100591715,8.443786982248522,21.85,15.239999999999998,22.469135802469136,31.061728395061728,0.546875,7.3471183771428565,4.284722222222222,3.796875,0.7500750018749999,12.2068658074192,True,4.0,6.0,9,-2.0,True,28.499977777777776,12.206865807419199
Carlos PenaVega,Witney Carson,Actor/Actress,Missouri,United States,26,21,Eliminated Week 11,4,8,8,7,,7.5,7.5,7.5,,7,8,8,8,9,8,8,,10,10,9,10,10,9,9,10,9,10,9,,9.6666,9.6666,9.6666,,9,9,9,,10,10.5,11,,10,10,10,,23.0,3.0,22.5,4.0,31.0,6.0,25.0,5.0,39.0,2.0,38.0,5.0,28.0,2.0,28.9998,2.0,27.0,4.0,31.5,1.0,30.0,1.0,11,18.485207100591715,8.443786982248522,21.85,15.239999999999998,22.469135802469136,31.061728395061728,0.546875,7.3471183771428565,4.284722222222222,3.796875,0.7500750018749999,12.2068658074192,True,3.1818181818181817,4.0,11,-0.8181818181818183,True,29.454527272727272,12.206865807419199
Victor Espinoza,Karina Smirnoff,Athlete,,Mexico,43,21,Eliminated Week 2,12,5,5,5,,6.5,5.5,6.5,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,15.0,9.0,18.5,9.0,,,,,,,,,,,,,,,,,,,2,18.485207100591715,8.443786982248522,21.85,15.239999999999998,22.469135802469136,31.061728395061728,0.546875,7.3471183771428565,4.284722222222222,3.796875,0.7500750018749999,12.2068658074192,True,9.0,12.0,2,-3.0,True,16.75,12.206865807419199
Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,21,3rd Place,3,8,7,7,,7.5,7,8,,8,8,9,8,8,8,8,,8,7,7,7,8,8,7,7,9,9,8.5,,9,8,8,,8.5,8.5,8.5,,9.5,9.5,9.5,,9.3333,9.3333,9.3333,,22.0,5.0,22.5,4.0,33.0,3.0,24.0,6.0,29.0,7.0,30.0,7.0,26.5,8.0,25.0,6.0,25.5,5.0,28.5,3.0,27.9999,4.0,11,18.485207100591715,8.443786982248522,21.85,15.239999999999998,22.469135802469136,31.061728395061728,0.546875,7.3471183771428565,4.284722222222222,3.796875,0.7500750018749999,12.2068658074192,True,5.2727272727272725,3.0,11,2.2727272727272725,True,26.727263636363638,12.206865807419199
Chaka Khan,Keo Motsepe,Singer/Rapper,Illinois,United States,62,21,Eliminated Week 2,13,5,4,4,,5,5,5,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,13.0,12.0,15.0,13.0,,,,,,,,,,,,,,,,,,,2,18.485207100591715,8.443786982248522,21.85,15.239999999999998,22.469135802469136,31.061728395061728,0.546875,7.3471183771428565,4.284722222222222,3.796875,0.7500750018749999,12.2068658074192,True,12.5,13.0,2,-0.5,True,14.0,12.206865807419199
Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,21,Eliminated Week 8,7,7,7,7,,7.5,7.5,7,,7,7,8,7,7,8,8,,9,9,9,9,10,10,10,10,9.5,9.5,9,,8.6666,7.6666,7.6666,,0,0,0,,0,0,0,,0,0,0,,21.0,7.0,22.0,8.0,29.0,8.0,23.0,7.0,36.0,4.0,40.0,1.0,28.0,2.0,23.9998,7.0,,,,,,,8,18.485207100591715,8.443786982248522,21.85,15.239999999999998,22.469135802469136,31.061728395061728,0.546875,7.3471183771428565,4.284722222222222,3.796875,0.7500750018749999,12.2068658074192,True,5.5,7.0,8,-1.5,True,27.874975,12.206865807419199
Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,Maryland,United States,38,21,Withdrew,5,8,7,8,,8,8,8.5,,8,9,8,8,9,9,9,,7,7,8,7,10,10,10,10,9,9,9,,9,9,10,,8.5,8,8,,0,0,0,,0,0,0,,23.0,3.0,24.5,1.0,33.0,3.0,27.0,2.0,29.0,7.0,40.0,1.0,27.0,6.0,28.0,3.0,24.5,6.0,,,,,9,18.485207100591715,8.443786982248522,21.85,15.239999999999998,22.469135802469136,31.061728395061728,0.546875,7.3471183771428565,4.284722222222222,3.796875,0.7500750018749999,12.2068658074192,True,3.5555555555555554,5.0,9,-1.4444444444444446,True,28.444444444444443,12.206865807419199
Nick Carter,Sharna Burgess,Singer/Rapper,New York,United States,35,21,2nd Place,2,8,8,8,,7.5,7.5,7.5,,9,9,9,9,9,9,9,,9,9,8,9,9,10,10,10,9,9,9,,11,11,11,,9,9,9.5,,9,9,9,,10,10,10,,24.0,1.0,22.5,4.0,36.0,1.0,27.0,2.0,35.0,5.0,39.0,4.0,27.0,6.0,33.0,1.0,27.5,3.0,27.0,4.0,30.0,1.0,11,18.485207100591715,8.443786982248522,21.85,15.239999999999998,22.469135802469136,31.061728395061728,0.546875,7.3471183771428565,4.284722222222222,3.796875,0.7500750018749999,12.2068658074192,True,2.909090909090909,2.0,11,0.9090909090909092,True,29.818181818181817,12.206865807419199
Hayes Grier,Emma Slater,Social Media Personality,North Carolina,United States,15,21,Eliminated Week 7,8,7,7,7,,8,7,7.5,,7,8,7,8,9,9,9,,8,8,7,7,8,8,8,8,9,9.5,9.5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,21.0,7.0,22.5,4.0,30.0,7.0,27.0,2.0,30.0,6.0,32.0,6.0,28.0,2.0,,,,,,,,,7,18.485207100591715,8.443786982248522,21.85,15.239999999999998,22.469135802469136,31.061728395061728,0.546875,7.3471183771428565,4.284722222222222,3.796875,0.7500750018749999,12.2068658074192,True,4.857142857142857,8.0,7,-3.1428571428571432,True,27.214285714285715,12.206865807419199
Bindi Irwin,Derek Hough,TV Personality,,Australia,17,21,1st Place,1,8,8,8,,8,8,8,,8,8,8,8,9,9,10,,9,9,10,9,10,10,10,10,9.5,10,9.5,,10,9,9,,10,10,10,,10.5,10.5,10.5,,10,10,10,,24.0,1.0,24.0,2.0,32.0,5.0,28.0,1.0,37.0,3.0,40.0,1.0,29.0,1.0,28.0,3.0,30.0,1.0,31.5,1.0,30.0,1.0,11,18.485207100591715,8.443786982248522,21.85,15.239999999999998,22.469135802469136,31.061728395061728,0.546875,7.3471183771428565,4.284722222222222,3.796875,0.7500750018749999,12.2068658074192,True,1.8181818181818181,1.0,11,0.8181818181818181,True,30.318181818181817,12.206865807419199
Kim Zolciak-Biermann,Tony Dovolani,TV Personality,Florida,United States,37,21,Withdrew,11,4,4,4,,6.5,6,6,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,12.0,13.0,18.5,9.0,,,,,,,,,,,,,,,,,,,2,18.485207100591715,8.443786982248522,21.85,15.239999999999998,22.469135802469136,31.061728395061728,0.546875,7.3471183771428565,4.284722222222222,3.796875,0.7500750018749999,12.2068658074192,True,11.0,11.0,2,0.0,True,15.25,12.206865807419199
Paula Deen,Louis van Amstel,TV Personality,Georgia,United States,68,21,Eliminated Week 6,9,5,5,5,,6.5,6,6,,5,5,5,5,6,6,6,,7,7,6,6,6,6,6,6,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,15.0,9.0,18.5,9.0,20.0,10.0,18.0,9.0,26.0,9.0,24.0,9.0,,,,,,,,,,,6,18.485207100591715,8.443786982248522,21.85,15.239999999999998,22.469135802469136,31.061728395061728,0.546875,7.3471183771428565,4.284722222222222,3.796875,0.7500750018749999,12.2068658074192,True,9.166666666666666,9.0,6,0.16666666666666607,True,20.25,12.206865807419199
Mischa Barton,Artem Chigvintsev,Actor/Actress,,England,30,22,Eliminated Week 3,11,5,5,6,,5,5,5,,6,6,6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,16.0,10.0,15.0,11.0,18.0,11.0,,,,,,,,,,,,,,,,,3,10.020833333333334,9.055555555555557,3.8842975206611565,15.89,11.111111111111109,5.283950617283951,0.8125,3.1388888888888893,0.86,0.29632592888888937,,6.035346295572289,True,10.666666666666666,11.0,3,-0.3333333333333339,True,16.333333333333332,6.035346295572289
Kim Fields,Sasha Farber,Actor/Actress,New York,United States,46,22,Eliminated Week 7,8,7,6,7,,7,6,6,,8,7,7,,8,8,8,8,8,6,6,8,8,8,8,,8.5,8.5,9,,0,0,0,,0,0,0,,0,0,0,,,,,,20.0,8.0,19.0,9.0,22.0,5.0,32.0,6.0,28.0,7.0,24.0,6.0,26.0,5.0,,,,,,,,,7,10.020833333333334,9.055555555555557,3.8842975206611565,15.89,11.111111111111109,5.283950617283951,0.8125,3.1388888888888893,0.86,0.29632592888888937,,6.035346295572289,True,6.571428571428571,8.0,7,-1.4285714285714288,True,24.428571428571427,6.035346295572289
