celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,agg_week_1,rank_of_week_1,agg_week_2,rank_of_week_2,agg_week_3,rank_of_week_3,agg_week_4,rank_of_week_4,agg_week_5,rank_of_week_5,agg_week_6,rank_of_week_6,agg_week_7,rank_of_week_7,agg_week_8,rank_of_week_8,agg_week_9,rank_of_week_9,agg_week_10,rank_of_week_10,agg_week_11,rank_of_week_11,episodes_participated
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3rd Place,3,7,7,7,,6,5,7,,7,8,8,,9,8,9,,9,8,9,,10,9,9,,8,8.5,7.5,8,9,9,9.5,,12,12,12.5,,10,9.6666,10,,,,,,7.0,3.0,6.0,7.0,7.666666666666667,3.0,8.666666666666666,1.0,8.666666666666666,2.0,9.333333333333334,1.0,8.0,3.0,9.166666666666666,1.0,12.166666666666666,1.0,9.888866666666667,1.0,,,10
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2nd Place,2,8,7,8,,7,6,7,,7,7,7,,7,7,8,,8,7,8,,8,9,9,,8,7,7,8,8.5,9,9,,9,9,9,,9.3333,9.3333,9.3333,,,,,,7.666666666666667,2.0,6.666666666666667,5.0,7.0,5.0,7.333333333333333,7.0,7.666666666666667,5.0,8.666666666666666,4.0,7.5,5.0,8.833333333333334,3.0,9.0,3.0,9.3333,3.0,,,10
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1st Place,1,7,7,7,,8,7,8,,9,8,8,,9,8,8,,9,9,9,,9,9,9,,8,8,8,9,9,9,9,,10,10,10,,10,9.6666,10,,,,,,7.0,3.0,7.666666666666667,1.0,8.333333333333334,1.0,8.333333333333334,2.0,9.0,1.0,9.0,3.0,8.25,1.0,9.0,2.0,10.0,2.0,9.888866666666667,1.0,,,10
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,Eliminated Week 4,9,6,5,6,,6,5,6,,7,6,7,,7,7,7,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,5.666666666666667,9.0,5.666666666666667,9.0,6.666666666666667,8.0,7.0,8.0,,,,,,,,,,,,,,,4
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,Eliminated Week 6,7,7,6,6,,8,7,8,,7,7,7,,8,7,8,,9,8,9,,7,8,7,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,6.333333333333333,5.0,7.666666666666667,1.0,7.0,5.0,7.666666666666667,4.0,8.666666666666666,2.0,7.333333333333333,7.0,,,,,,,,,,,6
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,Eliminated Week 5,8,6,6,6,,6,6,6,,8,9,8,,8,7,8,,7,7,8,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,6.0,7.0,6.0,7.0,8.333333333333334,1.0,7.666666666666667,4.0,7.333333333333333,6.0,,,,,,,,,,,,,5
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,Eliminated Week 2,11,5,4,4,,6,5,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,4.333333333333333,11.0,5.666666666666667,9.0,,,,,,,,,,,,,,,,,,,2
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,Eliminated Week 8,5,7,6,6,,7,8,8,,7,6,7,,7,8,8,,9,8,9,,10,9,9,,7.5,8,7,7.5,8.5,9,8.5,,0,0,0,,0,0,0,,,,,,6.333333333333333,5.0,7.666666666666667,1.0,6.666666666666667,8.0,7.666666666666667,4.0,8.666666666666666,2.0,9.333333333333334,1.0,7.5,5.0,8.666666666666666,4.0,,,,,,,8
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,Eliminated Week 3,10,5,4,5,,6,5,6,,5,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,4.666666666666667,10.0,5.666666666666667,9.0,5.0,10.0,,,,,,,,,,,,,,,,,3
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,Eliminated Week 7,6,6,6,6,,7,6,6,,8,7,8,,6,6,6,,8,7,7,,8,8,9,,7.5,7.5,7.5,8,0,0,0,,0,0,0,,0,0,0,,,,,,6.0,7.0,6.333333333333333,6.0,7.666666666666667,3.0,6.0,9.0,7.333333333333333,6.0,8.333333333333334,5.0,7.625,4.0,,,,,,,,,7
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,Eliminated Week 2,11,5,5,5,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.0,11.0,7.0,4.0,,,,,,,,,,,,,,,,,,,2
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,Eliminated Week 7,6,6,6,6,,6,6,6,,8,8,8,,8,7,8,,8,9,8,,8,7,8,,8,7.5,8,,0,0,0,,0,0,0,,0,0,0,,,,,,6.0,6.0,6.0,9.0,8.0,4.0,7.666666666666667,5.0,8.333333333333334,2.0,7.666666666666667,4.0,7.833333333333333,5.0,,,,,,,,,7
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3rd Place,3,7,6,7,,8,7,8,,9,9,9,,10,9,10,,8,8,8,,10,9,10,,9,8.5,9,,8.5,8.5,9,,10.8333,11.3333,11.3333,,9.3333,9.3333,9.3333,,,,,,6.666666666666667,4.0,7.666666666666667,1.0,9.0,1.0,9.666666666666666,1.0,8.0,4.0,9.666666666666666,1.0,8.833333333333334,1.0,8.666666666666666,2.0,11.166633333333332,1.0,9.3333,3.0,,,10
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1st Place,1,8,7,7,,7,7,8,,9,8,9,,8,9,9,,9,9,10,,10,9,10,,8.5,7.5,8,,10,10,10,,9.5,9,9.5,,9.3333,9.1666,9.6666,,,,,,7.333333333333333,1.0,7.333333333333333,2.0,8.666666666666666,2.0,8.666666666666666,2.0,9.333333333333334,1.0,9.666666666666666,1.0,8.0,4.0,10.0,1.0,9.333333333333334,3.0,9.388833333333332,2.0,,,10
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,Eliminated Week 1,12,5,4,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,4.666666666666667,12.0,,,,,,,,,,,,,,,,,,,,,1
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,Eliminated Week 9,4,7,7,7,,6,7,6,,8,8,8,,8,8,8,,8,8,8,,7,6,7,,8.5,8,8.5,,8.5,9,8.5,,8.1666,8.1666,8.1666,,0,0,0,,,,,,7.0,3.0,6.333333333333333,8.0,8.0,4.0,8.0,3.0,8.0,4.0,6.666666666666667,6.0,8.333333333333334,3.0,8.666666666666666,2.0,8.1666,4.0,,,,,9
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,Eliminated Week 4,9,8,7,7,,7,7,7,,8,9,9,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.333333333333333,1.0,7.0,4.0,8.666666666666666,2.0,7.0,6.0,,,,,,,,,,,,,,,4
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,Eliminated Week 3,10,7,6,6,,8,7,7,,8,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.333333333333333,5.0,7.333333333333333,2.0,8.0,4.0,,,,,,,,,,,,,,,,,3
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,Eliminated Week 5,8,6,5,6,,6,6,6,,8,7,8,,7,6,7,,6,6,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.666666666666667,7.0,6.0,9.0,7.666666666666667,8.0,6.666666666666667,9.0,6.333333333333333,8.0,,,,,,,,,,,,,5
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,Eliminated Week 6,7,6,5,6,,6,5,6,,6,6,6,,7,7,7,,7,7,7,,7,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.666666666666667,7.0,5.666666666666667,11.0,6.0,10.0,7.0,6.0,7.0,7.0,6.333333333333333,7.0,,,,,,,,,,,6
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,Eliminated Week 8,5,5,5,6,,6,8,7,,7,7,7,,7,7,7,,7,7,8,,9,7,8,,7.5,7,7.5,,7.5,7,7.5,,0,0,0,,0,0,0,,,,,,5.333333333333333,9.0,7.0,4.0,7.0,9.0,7.0,6.0,7.333333333333333,6.0,8.0,3.0,7.333333333333333,6.0,7.333333333333333,5.0,,,,,,,8
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2nd Place,2,6,5,5,,7,7,7,,8,8,8,,8,8,8,,9,8,8,,8,7,7,,9,8,8.5,,8.5,8.5,8.5,,11.1666,10.6666,10.6666,,9.4444,9.4444,9.4444,,,,,,5.333333333333333,9.0,7.0,4.0,8.0,4.0,8.0,3.0,8.333333333333334,2.0,7.333333333333333,5.0,8.5,2.0,8.5,4.0,10.833266666666667,2.0,9.4444,1.0,,,10
William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,14,3rd Place,3,8,8,8,,9,7,9,,9,9,10,,7,7,8,,10,9,10,,12,11,13,,9,8.5,9,,9.5,9.5,9.5,,9.5,9.5,10,,10,9.6666,10,,,,,,8.0,3.0,8.333333333333334,3.0,9.333333333333334,2.0,7.333333333333333,6.0,9.666666666666666,1.0,12.0,3.0,8.833333333333334,3.0,9.5,1.0,9.666666666666666,2.0,9.888866666666667,2.0,,,10
Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,Eliminated Week 3,11,8,7,8,,7,7,7,,8,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.666666666666667,4.0,7.0,8.0,8.0,7.0,,,,,,,,,,,,,,,,,3
Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,14,Eliminated Week 4,10,8,7,8,,8,7,8,,8,8,8,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.666666666666667,4.0,7.666666666666667,6.0,8.0,7.0,7.0,9.0,,,,,,,,,,,,,,,4
Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,14,Eliminated Week 7,7,9,8,9,,7,7,8,,9,8,8,,8,7,7,,8,8,8,,12.6666,11.6666,12.6666,,9,8,8.5,,0,0,0,,0,0,0,,0,0,0,,,,,,8.666666666666666,1.0,7.333333333333333,7.0,8.333333333333334,5.0,7.333333333333333,6.0,8.0,6.0,12.333266666666667,2.0,8.5,6.0,,,,,,,,,7
Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,14,Eliminated Week 8,6,8,7,8,,9,8,9,,8,8,9,,9,8,9,,9,8,9,,8.6666,9.6666,9.6666,,9.5,8,8.5,,9.5,9,9.5,,0,0,0,,0,0,0,,,,,,7.666666666666667,4.0,8.666666666666666,1.0,8.333333333333334,5.0,8.666666666666666,2.0,8.666666666666666,5.0,9.333266666666667,7.0,8.666666666666666,5.0,9.333333333333334,2.0,,,,,,,8
Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,14,Eliminated Week 8,5,7,6,7,,7,6,7,,8,8,8,,7,8,7,,7,7,7,,10,10,10,,8,7.5,8,,8.5,8.5,8.5,,0,0,0,,0,0,0,,,,,,6.666666666666667,10.0,6.666666666666667,10.0,8.0,7.0,7.333333333333333,6.0,7.0,8.0,10.0,5.0,7.833333333333333,7.0,8.5,6.0,,,,,,,8
Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,14,Eliminated Week 2,12,7,6,7,,6,5,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.666666666666667,10.0,5.666666666666667,12.0,,,,,,,,,,,,,,,,,,,2
Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,14,1st Place,1,7,7,7,,8,8,8,,9,8,9,,9,9,9,,10,8,9,,11.3333,11.3333,11.3333,,9,8.5,9,,9.5,9,9,,9.5,9,10,,10,9.6666,10,,,,,,7.0,8.0,8.0,5.0,8.666666666666666,4.0,9.0,1.0,9.0,3.0,11.3333,4.0,8.833333333333334,3.0,9.166666666666666,3.0,9.5,3.0,9.888866666666667,2.0,,,10
Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,14,Eliminated Week 5,9,7,6,7,,7,7,7,,8,8,8,,8,8,7,,6,6,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.666666666666667,10.0,7.0,8.0,8.0,7.0,7.666666666666667,5.0,6.333333333333333,9.0,,,,,,,,,,,,,5
Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,14,Eliminated Week 6,8,8,7,8,,7,5,7,,8,8,8,,7,6,7,,7,7,8,,8,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.666666666666667,4.0,6.333333333333333,11.0,8.0,7.0,6.666666666666667,10.0,7.333333333333333,7.0,8.0,8.0,,,,,,,,,,,6
Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,14,2nd Place,2,9,8,9,,9,8,9,,10,9,10,,8,8,8,,10,9,10,,13.3333,12.3333,13.3333,,9.5,8.5,9,,9,9,9.5,,9.5,9,9.5,,10,10,10,,,,,,8.666666666666666,1.0,8.666666666666666,1.0,9.666666666666666,1.0,8.0,4.0,9.666666666666666,1.0,12.999966666666666,1.0,9.0,2.0,9.166666666666666,3.0,9.333333333333334,4.0,10.0,1.0,,,10
Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,14,Eliminated Week 9,4,7,7,7,,8,8,9,,9,9,9,,9,8,9,,9,9,9,,9.3333,10.3333,10.3333,,10,9,9.5,,9.5,7.5,9.5,,10,9.5,10,,0,0,0,,,,,,7.0,8.0,8.333333333333334,3.0,9.0,3.0,8.666666666666666,2.0,9.0,3.0,9.999966666666666,6.0,9.5,1.0,8.833333333333334,5.0,9.833333333333334,1.0,,,,,9
Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,15,Eliminated Week 8,6,8,8,8,,8.5,8.5,8.5,,8.5,8.5,8.5,,10,9.5,10,10,9.5,9.25,9.5,,9,9,9.5,,11.1666,11.1666,11.1666,,9.5,10,9.7777,,0,0,0,,0,0,0,,,,,,8.0,2.0,8.5,2.0,8.5,4.0,9.875,1.0,9.416666666666666,2.0,9.166666666666666,5.0,11.1666,5.0,9.759233333333333,2.0,,,,,,,8
Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,15,Eliminated Week 6,8,7.5,7.5,7.5,,9,8.5,8.5,,8.5,8.5,8.5,,9,9,8.5,9,9.75,9.75,9.75,,10,10,10,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.5,3.0,8.666666666666666,1.0,8.5,4.0,8.875,6.0,9.75,1.0,10.0,1.0,,,,,,,,,,,6
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,15,Eliminated Week 8,7,6.5,6,6.5,,7,7,7,,8,8,8,,7.5,7.5,7.5,7.5,8.75,8.75,8.75,,9.5,8.5,9.5,,9.3333,9.3333,9.3333,,8.5,8.5,8.5,,0,0,0,,0,0,0,,,,,,6.333333333333333,12.0,7.0,11.0,8.0,9.0,7.5,9.0,8.75,7.0,9.166666666666666,5.0,9.3333,7.0,8.5,7.0,,,,,,,8
Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,15,3rd Place,3,7,7,7.5,,7.5,7,7.5,,9,9,9,,9,9.5,9.5,9.5,8.5,8.5,8.75,,9,9,9,,12,12,12,,9.5,9.3333,9.5,,8.7777,9.3333,9,,9.6666,9.6666,9.7777,,,,,,7.166666666666667,6.0,7.333333333333333,10.0,9.0,1.0,9.375,3.0,8.583333333333334,8.0,9.0,7.0,12.0,3.0,9.444433333333334,5.0,9.036999999999999,4.0,9.703633333333334,2.0,,,10
Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,15,Eliminated Week 9,5,7.5,7,7.5,,8.5,8,8,,9,8,8.5,,8.5,9,8.5,8.5,9,9.75,9.5,,10,10,10,,11,11,11,,9.7777,9.5,10,,9.3333,9.5,9.7777,,0,0,0,,,,,,7.333333333333333,4.0,8.166666666666666,4.0,8.5,4.0,8.625,7.0,9.416666666666666,2.0,10.0,1.0,11.0,6.0,9.759233333333333,2.0,9.537,3.0,,,,,9
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,Eliminated Week 9,4,8,8.5,8,,7.5,7.5,7.5,,8.5,8,8.5,,9,9,9,9,9.25,9.25,9.5,,8.5,8.5,9.5,,10.8333,11.8333,11.8333,,9.5,9.7777,9.7777,,9,9,9,,0,0,0,,,,,,8.166666666666666,1.0,7.5,7.0,8.333333333333334,8.0,9.0,5.0,9.333333333333334,6.0,8.833333333333334,8.0,11.499966666666666,4.0,9.685133333333333,4.0,9.0,5.0,,,,,9
Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,15,2nd Place,2,8,6.5,7.5,,8.5,8,8.5,,9,8,9.5,,10,9.5,10,10,9.25,9,10,,9.5,8.5,10,,12.6666,12.6666,12.6666,,10,8.3333,9.5,,9.5,10,10,,9.6666,9.5,9.7777,,,,,,7.333333333333333,4.0,8.333333333333334,3.0,8.833333333333334,3.0,9.875,1.0,9.416666666666666,2.0,9.333333333333334,4.0,12.6666,2.0,9.277766666666666,6.0,9.833333333333334,1.0,9.648100000000001,3.0,,,10
Pamela Anderson,Tristan MacManus,Model,,Canada,45,15,Eliminated Week 1,13,5.5,5.5,6,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.666666666666667,13.0,,,,,,,,,,,,,,,,,,,,,1
Helio Castroneves,Chelsie Hightower,Racing Driver,,Brazil,37,15,Eliminated Week 3,10,7,7.5,7,,8,7.5,7.5,,8.5,8.5,8.5,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.166666666666667,6.0,7.666666666666667,6.0,8.5,4.0,,,,,,,,,,,,,,,,,3
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,15,Eliminated Week 2,12,6.5,7,7,,7.5,7.5,7.5,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.833333333333333,10.0,7.5,7.0,,,,,,,,,,,,,,,,,,,2
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,15,Eliminated Week 3,11,7,7,7.5,,7.5,7.5,7.5,,8,8,8,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.166666666666667,6.0,7.5,7.0,8.0,9.0,,,,,,,,,,,,,,,,,3
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,15,Eliminated Week 4,9,6.5,6.5,6.5,,6,6,6,,7.5,7.5,7.5,,8,8,8,8,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.5,11.0,6.0,12.0,7.5,11.0,8.0,8.0,,,,,,,,,,,,,,,4
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,15,1st Place,1,7,7,7,,8,8,7.5,,9,9,9,,9,9,9.5,9.5,9.25,9.5,9.5,,9.5,10,10,,13.3333,12.8333,12.8333,,10,10,10,,9.5,9.7777,9.5,,9.7777,9.7777,9.7777,,,,,,7.0,9.0,7.833333333333333,5.0,9.0,1.0,9.25,4.0,9.416666666666666,2.0,9.833333333333334,3.0,12.999966666666666,1.0,10.0,1.0,9.592566666666666,2.0,9.7777,1.0,,,10
Ingo Rademacher,Kym Johnson,Actor/Actress,,Germany,41,16,Eliminated Week 9,5,7,6,7,,6,7,7,,7,7,7,,8,7,8,,7,7,7,,7.5,8,7.5,,8,9,8,,8,8,8,,8.5,8.5,8.5,,0,0,0,,,,,,6.666666666666667,5.0,6.666666666666667,5.0,7.0,6.0,7.666666666666667,5.0,7.0,6.0,7.666666666666667,4.0,8.333333333333334,5.0,8.0,5.0,8.5,5.0,,,,,9
Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,16,2nd Place,2,8,8,8,,9,8,9,,8.6666,8.6666,8.6666,,9,8,9,,10,9,10,,8.5,8.5,8.5,,10,10,10,,9.5,10,9.5,,9,9,9.5,,10,10,10,,,,,,8.0,1.0,8.666666666666666,1.0,8.6666,1.0,8.666666666666666,2.0,9.666666666666666,1.0,8.5,3.0,10.0,2.0,9.666666666666666,1.0,9.166666666666666,4.0,10.0,1.0,,,10
Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,16,Withdrew,12,7,7,7,,5,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.0,2.0,5.0,12.0,,,,,,,,,,,,,,,,,,,2
Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,16,Eliminated Week 6,8,6,6,6,,6,6,6,,8,7,8,,6,6,6,,7,7,7,,6.5,7,6.5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.0,8.0,6.0,8.0,7.666666666666667,4.0,6.0,9.0,7.0,6.0,6.666666666666667,8.0,,,,,,,,,,,6
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,16,Eliminated Week 10,4,7,7,7,,8,8,8,,7,8,8,,9,9,9,,8,8,9,,8.5,9,8.5,,11,10,11,,9,9.5,9.5,,10,9.5,10,,9.5,9.5,10,,,,,,7.0,2.0,8.0,3.0,7.666666666666667,4.0,9.0,1.0,8.333333333333334,4.0,8.666666666666666,2.0,10.666666666666666,1.0,9.333333333333334,2.0,9.833333333333334,1.0,9.666666666666666,3.0,,,10
Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,16,3rd Place,3,7,6,7,,8,7,8,,8.6666,8.6666,8.6666,,8,8,8,,9,8,9,,7.5,7.5,7.5,,9,9,9,,8.5,9,8.5,,10,9.5,10,,9.3333,9.3333,9.3333,,,,,,6.666666666666667,5.0,7.666666666666667,4.0,8.6666,1.0,8.0,4.0,8.666666666666666,3.0,7.5,6.0,9.0,4.0,8.666666666666666,4.0,9.833333333333334,1.0,9.3333,4.0,,,10
D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,16,Eliminated Week 5,9,4,4,4,,5,5,6,,6,5,5,,7,7,7,,6,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,4.0,12.0,5.333333333333333,11.0,5.333333333333333,10.0,7.0,6.0,6.0,8.0,,,,,,,,,,,,,5
Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,16,Eliminated Week 7,7,6,5,6,,7,6,7,,6,6,6,,7,7,7,,6,6,6,,7,7.5,7,,5,6,6,,0,0,0,,0,0,0,,0,0,0,,,,,,5.666666666666667,11.0,6.666666666666667,5.0,6.0,9.0,7.0,6.0,6.0,8.0,7.166666666666667,7.0,5.666666666666667,7.0,,,,,,,,,7
Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,16,Eliminated Week 3,11,6,6,6,,6,6,6,,5,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.0,8.0,6.0,8.0,5.0,11.0,,,,,,,,,,,,,,,,,3
Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,16,1st Place,1,7,7,7,,9,8,9,,8,9,8,,9,8,9,,9,9,9,,8.5,9.5,9,,9,10,10,,9.5,8,10,,9.5,10,9.5,,10,10,10,,,,,,7.0,2.0,8.666666666666666,1.0,8.333333333333334,3.0,8.666666666666666,2.0,9.0,2.0,9.0,1.0,9.666666666666666,3.0,9.166666666666666,3.0,9.666666666666666,3.0,10.0,1.0,,,10
Lisa Vanderpump,Gleb Savchenko,TV Personality,,England,52,16,Eliminated Week 4,10,6,6,6,,6,6,6,,7,7,7,,6,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.0,8.0,6.0,8.0,7.0,6.0,6.0,9.0,,,,,,,,,,,,,,,4
Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,16,Eliminated Week 8,6,7,6,6,,7,6,7,,7,7,7,,6,7,7,,8,8,8,,7.5,8,7.5,,8,8,8,,7,7,7,,0,0,0,,0,0,0,,,,,,6.333333333333333,7.0,6.666666666666667,5.0,7.0,6.0,6.666666666666667,8.0,8.0,5.0,7.666666666666667,4.0,8.0,6.0,7.0,6.0,,,,,,,8
Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,17,Eliminated Week 4,10,7,7,7,,6,6,7,,6,5,5,,6,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,7.0,8.0,6.333333333333333,10.0,5.333333333333333,10.0,6.0,10.0,,,,,,,,,,,,,,,4
Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,17,Eliminated Week 8,7,7,8,7,,8,7,8,,9,9,9,,7,7,7,,9,9,9,,10,11,10,,9.5,9.5,9.5,,9,9,9,,0,0,0,,0,0,0,0,0,0,0,,7.333333333333333,6.0,7.666666666666667,7.0,9.0,1.0,7.0,8.0,9.0,3.0,10.333333333333334,3.0,9.5,3.0,9.0,5.0,,,,,,,8
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,17,Eliminated Week 9,6,8,8,8,,8,9,8,,8,9,8,,9,9,9,,8,9,9,,10.6666,10.6666,10.6666,,9,9,9,,8,9,8,,9.5,9,9.5,,0,0,0,0,0,0,0,,8.0,2.0,8.333333333333334,2.0,8.333333333333334,4.0,9.0,1.0,8.666666666666666,6.0,10.6666,2.0,9.0,5.0,8.333333333333334,6.0,9.333333333333334,2.0,,,,,9
