season,week,celebrity_name,ballroom_partner,results,placement,judge1_score,judge2_score,judge3_score,judge4_score,total_judge_score,judge_rank,judge_percent,active,true_elim_flag,exit_type,exit_week,data_anomaly_zero_score
19,5,Antonio Sabato Jr.,Cheryl Burke,Eliminated Week 7,8,8.0,6.0,7.0,7.0,28.0,6.0,0.10606060606060606,True,0,eliminated,7.0,False
19,5,Jonathan Bennett,Allison Holker,Eliminated Week 6,9,6.0,6.0,6.0,6.0,24.0,7.0,0.09090909090909091,True,0,eliminated,6.0,False
19,5,Lea Thompson,Artem Chigvintsev,Eliminated Week 9,6,9.0,8.0,8.0,9.0,34.0,2.5,0.12878787878787878,True,0,eliminated,9.0,False
19,5,Janel Parrish,Valentin Chmerkovskiy,3rd Place,3,8.0,8.0,8.0,9.0,33.0,4.0,0.125,True,0,finished,11.0,False
19,5,Alfonso Ribeiro,Witney Carson,1st Place,1,8.0,9.0,9.0,8.0,34.0,2.5,0.12878787878787878,True,0,finished,11.0,False
19,5,Lolo Jones,Keo Motsepe,Eliminated Week 1,13,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,1.0,True
19,5,Randy Couture,Karina Smirnoff,Eliminated Week 3,11,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,3.0,True
19,5,Tommy Chong,Peta Murgatroyd,Eliminated Week 10,5,6.0,6.0,5.0,6.0,23.0,8.0,0.08712121212121213,True,0,eliminated,10.0,False
19,5,Betsey Johnson,Tony Dovolani,Eliminated Week 4,10,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,4.0,True
19,5,Michael Waltrip,Emma Slater,Eliminated Week 8,7,5.0,5.0,5.0,5.0,20.0,9.0,0.07575757575757576,True,0,eliminated,8.0,False
19,5,Tavis Smiley,Sharna Burgess,Eliminated Week 2,12,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,2.0,True
19,5,Bethany Mota,Derek Hough,Eliminated Week 11,4,8.0,8.0,8.0,8.0,32.0,5.0,0.12121212121212122,True,0,eliminated,11.0,False
19,5,Sadie Robertson,Mark Ballas,2nd Place,2,9.0,9.0,9.0,9.0,36.0,1.0,0.13636363636363635,True,0,finished,11.0,False
20,5,Suzanne Somers,Tony Dovolani,Eliminated Week 5,9,7.0,7.0,7.0,7.0,28.0,5.5,0.0989399293286219,True,1,eliminated,5.0,False
20,5,Willow Shields,Mark Ballas,Eliminated Week 7,7,8.0,8.0,9.0,9.0,34.0,4.0,0.12014134275618374,True,0,eliminated,7.0,False
20,5,Riker Lynch,Allison Holker,2nd Place,2,10.0,9.0,9.0,10.0,38.0,2.5,0.13427561837455831,True,0,finished,10.0,False
20,5,Rumer Willis,Valentin Chmerkovskiy,1st Place,1,10.0,9.0,10.0,10.0,39.0,1.0,0.13780918727915195,True,0,finished,10.0,False
20,5,Nastia Liukin,Derek Hough,Eliminated Week 9,4,9.0,9.0,10.0,10.0,38.0,2.5,0.13427561837455831,True,0,eliminated,9.0,False
20,5,Michael Sam,Peta Murgatroyd,Eliminated Week 4,10,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,4.0,True
20,5,Robert Herjavec,Kym Johnson,Eliminated Week 8,6,6.0,6.0,6.0,6.0,24.0,9.0,0.08480565371024736,True,0,eliminated,8.0,False
20,5,Charlotte McKinney,Keo Motsepe,Eliminated Week 3,11,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,3.0,True
20,5,Noah Galloway,Sharna Burgess,3rd Place,3,7.0,7.0,7.0,7.0,28.0,5.5,0.0989399293286219,True,0,finished,10.0,False
20,5,Redfoo,Emma Slater,Eliminated Week 2,12,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,2.0,True
20,5,Patti LaBelle,Artem Chigvintsev,Eliminated Week 6,8,7.0,6.0,7.0,7.0,27.0,7.5,0.09540636042402827,True,0,eliminated,6.0,False
20,5,Chris Soules,Witney Carson,Eliminated Week 8,5,7.0,6.0,7.0,7.0,27.0,7.5,0.09540636042402827,True,0,eliminated,8.0,False
21,5,Gary Busey,Anna Trebunskaya,Eliminated Week 4,10,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,4.0,True
21,5,Alexa PenaVega,Mark Ballas,Eliminated Week 9,6,10.0,10.0,10.0,10.0,40.0,1.0,0.132890365448505,True,0,eliminated,9.0,False
21,5,Carlos PenaVega,Witney Carson,Eliminated Week 11,4,10.0,10.0,9.0,10.0,39.0,2.0,0.12956810631229235,True,0,eliminated,11.0,False
21,5,Victor Espinoza,Karina Smirnoff,Eliminated Week 2,12,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,2.0,True
21,5,Alek Skarlatos,Lindsay Arnold,3rd Place,3,8.0,7.0,7.0,7.0,29.0,7.5,0.09634551495016612,True,0,finished,11.0,False
21,5,Chaka Khan,Keo Motsepe,Eliminated Week 2,13,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,2.0,True
21,5,Andy Grammer,Allison Holker,Eliminated Week 8,7,9.0,9.0,9.0,9.0,36.0,4.0,0.11960132890365449,True,0,eliminated,8.0,False
21,5,Tamar Braxton,Valentin Chmerkovskiy,Withdrew,5,7.0,7.0,8.0,7.0,29.0,7.5,0.09634551495016612,True,0,withdrew,9.0,False
21,5,Nick Carter,Sharna Burgess,2nd Place,2,9.0,9.0,8.0,9.0,35.0,5.0,0.11627906976744186,True,0,finished,11.0,False
21,5,Hayes Grier,Emma Slater,Eliminated Week 7,8,8.0,8.0,7.0,7.0,30.0,6.0,0.09966777408637874,True,0,eliminated,7.0,False
21,5,Bindi Irwin,Derek Hough,1st Place,1,9.0,9.0,10.0,9.0,37.0,3.0,0.12292358803986711,True,0,finished,11.0,False
21,5,Kim Zolciak-Biermann,Tony Dovolani,Withdrew,11,0.0,0.0,0.0,0.0,0.0,,,False,0,withdrew,2.0,True
21,5,Paula Deen,Louis van Amstel,Eliminated Week 6,9,7.0,7.0,6.0,6.0,26.0,9.0,0.08637873754152824,True,0,eliminated,6.0,False
22,5,Mischa Barton,Artem Chigvintsev,Eliminated Week 3,11,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,3.0,True
22,5,Kim Fields,Sasha Farber,Eliminated Week 7,8,8.0,6.0,6.0,8.0,28.0,7.5,0.10144927536231885,True,0,eliminated,7.0,False
22,5,Jodie Sweetin,Keo Motsepe,Eliminated Week 8,6,9.0,8.0,9.0,9.0,35.0,2.0,0.12681159420289856,True,0,eliminated,8.0,False
22,5,Doug Flutie,Karina Smirnoff,Eliminated Week 6,9,7.0,7.0,7.0,7.0,28.0,7.5,0.10144927536231885,True,0,eliminated,6.0,False
22,5,Von Miller,Witney Carson,Eliminated Week 7,7,8.0,7.0,7.0,7.0,29.0,6.0,0.10507246376811594,True,0,eliminated,7.0,False
22,5,Antonio Brown,Sharna Burgess,Eliminated Week 9,5,7.0,6.0,6.0,7.0,26.0,9.0,0.09420289855072464,True,0,eliminated,9.0,False
22,5,Paige VanZant,Mark Ballas,2nd Place,2,8.0,8.0,7.0,8.0,31.0,4.0,0.11231884057971014,True,0,finished,10.0,False
22,5,Geraldo Rivera,Edyta Sliwinska,Eliminated Week 2,12,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,2.0,True
22,5,Nyle DiMarco,Peta Murgatroyd,1st Place,1,9.0,10.0,9.0,9.0,37.0,1.0,0.13405797101449277,True,0,finished,10.0,False
22,5,Ginger Zee,Valentin Chmerkovskiy,3rd Place,3,8.0,8.0,8.0,8.0,32.0,3.0,0.11594202898550725,True,0,finished,10.0,False
22,5,Wanya Morris,Lindsay Arnold,Eliminated Week 9,4,8.0,7.0,7.0,8.0,30.0,5.0,0.10869565217391304,True,0,eliminated,9.0,False
22,5,Marla Maples,Tony Dovolani,Eliminated Week 4,10,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,4.0,True
23,5,Jake T. Austin,Jenna Johnson,Eliminated Week 2,13,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
23,5,Maureen McCormick,Artem Chigvintsev,Eliminated Week 7,8,8.0,8.0,8.0,,24.0,7.5,0.10434782608695652,True,0,eliminated,7.0,False
23,5,Marilu Henner,Derek Hough,Eliminated Week 9,6,9.0,9.0,9.0,,27.0,2.5,0.11739130434782609,True,0,eliminated,9.0,False
23,5,Ryan Lochte,Cheryl Burke,Eliminated Week 8,7,8.0,8.0,8.0,,24.0,7.5,0.10434782608695652,True,0,eliminated,8.0,False
23,5,Calvin Johnson Jr.,Lindsay Arnold,3rd Place,3,8.0,8.0,8.0,,24.0,7.5,0.10434782608695652,True,0,finished,11.0,False
23,5,Laurie Hernandez,Valentin Chmerkovskiy,1st Place,1,8.0,9.0,8.0,,25.0,5.0,0.10869565217391304,True,0,finished,11.0,False
23,5,Amber Rose,Maksim Chmerkoskiy,Eliminated Week 6,9,8.0,8.0,8.0,,24.0,7.5,0.10434782608695652,True,0,eliminated,6.0,False
23,5,Rick Perry,Emma Slater,Eliminated Week 3,12,0.0,0.0,0.0,,0.0,,,False,0,eliminated,3.0,True
23,5,James Hinchcliffe,Sharna Burgess,2nd Place,2,10.0,9.0,10.0,,29.0,1.0,0.12608695652173912,True,0,finished,11.0,False
23,5,Babyface,Allison Holker,Eliminated Week 4,11,0.0,0.0,0.0,,0.0,,,False,0,eliminated,4.0,True
23,5,Vanilla Ice,Witney Carson,Eliminated Week 4,10,0.0,0.0,0.0,,0.0,,,False,0,eliminated,4.0,True
23,5,Jana Kramer,Gleb Savchenko,Eliminated Week 11,4,9.0,8.0,9.0,,26.0,4.0,0.11304347826086956,True,0,eliminated,11.0,False
23,5,Terra Jole,Sasha Farber,Eliminated Week 10,5,9.0,9.0,9.0,,27.0,2.5,0.11739130434782609,True,0,eliminated,10.0,False
24,5,Charo,Keo Motsepe,Eliminated Week 3,11,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,3.0,True
24,5,Mr. T,Kym Herjavec,Eliminated Week 4,10,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,4.0,True
24,5,Heather Morris,Maksim Chmerkoskiy,Eliminated Week 6,8,8.0,8.0,9.0,9.0,34.0,4.5,0.1118421052631579,True,0,eliminated,6.0,False
24,5,Nancy Kerrigan,Artem Chigvintsev,Eliminated Week 7,7,9.0,9.0,9.0,9.0,36.0,3.0,0.11842105263157894,True,0,eliminated,7.0,False
24,5,Bonner Bolton,Sharna Burgess,Eliminated Week 8,5,7.0,8.0,8.0,7.0,30.0,8.0,0.09868421052631579,True,0,eliminated,8.0,False
24,5,Simone Biles,Sasha Farber,Eliminated Week 9,4,9.0,9.0,10.0,10.0,38.0,2.0,0.125,True,0,eliminated,9.0,False
24,5,David Ross,Lindsay Arnold,2nd Place,2,7.0,7.0,8.0,7.0,29.0,9.0,0.09539473684210527,True,0,finished,10.0,False
24,5,Rashad Jennings,Emma Slater,1st Place,1,7.0,8.0,9.0,8.0,32.0,6.5,0.10526315789473684,True,0,finished,10.0,False
24,5,Chris Kattan,Witney Carson,Eliminated Week 2,12,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,2.0,True
24,5,Erika Jayne,Gleb Savchenko,Eliminated Week 5,9,8.0,8.0,8.0,8.0,32.0,6.5,0.10526315789473684,True,1,eliminated,5.0,False
24,5,Normani,Valentin Chmerkovskiy,3rd Place,3,10.0,9.0,10.0,10.0,39.0,1.0,0.12828947368421054,True,0,finished,10.0,False
24,5,Nick Viall,Peta Murgatroyd,Eliminated Week 7,6,9.0,8.0,9.0,8.0,34.0,4.5,0.1118421052631579,True,0,eliminated,7.0,False
25,5,Sasha Pieterse,Gleb Savchenko,Eliminated Week 5,10,8.0,8.0,8.0,,24.0,8.5,0.09195402298850575,True,1,eliminated,5.0,False
25,5,Frankie Muniz,Witney Carson,3rd Place,3,10.0,9.0,10.0,,29.0,2.0,0.1111111111111111,True,0,finished,10.0,False
25,5,Jordan Fisher,Lindsay Arnold,1st Place,1,10.0,10.0,10.0,,30.0,1.0,0.11494252873563218,True,0,finished,10.0,False
25,5,Derek Fisher,Sharna Burgess,Eliminated Week 4,11,0.0,0.0,0.0,,0.0,,,False,0,eliminated,4.0,True
25,5,Nikki Bella,Artem Chigvintsev,Eliminated Week 7,8,9.0,9.0,9.0,,27.0,4.5,0.10344827586206896,True,0,eliminated,7.0,False
25,5,Terrell Owens,Cheryl Burke,Eliminated Week 8,6,9.0,8.0,8.0,,25.0,6.5,0.09578544061302682,True,0,eliminated,8.0,False
25,5,Victoria Arlen,Valentin Chmerkovskiy,Eliminated Week 9,5,9.0,9.0,9.0,,27.0,4.5,0.10344827586206896,True,0,eliminated,9.0,False
25,5,Barbara Corcoran,Keo Motsepe,Eliminated Week 2,13,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
25,5,Lindsey Stirling,Mark Ballas,2nd Place,2,9.0,10.0,9.0,,28.0,3.0,0.10727969348659004,True,0,finished,10.0,False
25,5,Debbie Gibson,Alan Bersten,Eliminated Week 2,12,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
25,5,Nick Lachey,Peta Murgatroyd,Eliminated Week 6,9,7.0,8.0,7.0,,22.0,10.0,0.0842911877394636,True,0,eliminated,6.0,False
25,5,Drew Scott,Emma Slater,Eliminated Week 10,4,9.0,8.0,8.0,,25.0,6.5,0.09578544061302682,True,0,eliminated,10.0,False
25,5,Vanessa Lachey,Maksim Chmerkoskiy,Eliminated Week 7,7,8.0,8.0,8.0,,24.0,8.5,0.09195402298850575,True,0,eliminated,7.0,False
27,5,Juan Pablo Di Pace,Cheryl Burke,Eliminated Week 8,5,10.0,9.0,10.0,,29.0,1.5,0.13063063063063063,True,0,eliminated,8.0,False
27,5,Evanna Lynch,Keo Motsepe,3rd Place,3,8.0,8.0,8.0,,24.0,6.5,0.10810810810810811,True,0,finished,9.0,False
27,5,Nancy McKeon,Valentin Chmerkovskiy,Eliminated Week 3,11,0.0,0.0,0.0,,0.0,,,False,0,eliminated,3.0,True
27,5,John Schneider,Emma Slater,Eliminated Week 7,8,8.0,8.0,8.0,,24.0,6.5,0.10810810810810811,True,0,eliminated,7.0,False
27,5,Milo Manheim,Witney Carson,2nd Place,2,9.0,8.0,10.0,,27.0,3.0,0.12162162162162163,True,0,finished,9.0,False
27,5,Danelle Umstead,Artem Chigvintsev,Eliminated Week 2,12,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
27,5,Mary Lou Retton,Sasha Farber,Eliminated Week 6,9,9.0,8.0,8.0,,25.0,5.0,0.11261261261261261,True,0,eliminated,6.0,False
27,5,DeMarcus Ware,Lindsay Arnold,Eliminated Week 7,7,9.0,8.0,9.0,,26.0,4.0,0.11711711711711711,True,0,eliminated,7.0,False
27,5,Nikki Glaser,Gleb Savchenko,Eliminated Week 1,13,0.0,0.0,0.0,,0.0,,,False,0,eliminated,1.0,True
27,5,Bobby Bones,Sharna Burgess,1st Place,1,7.0,7.0,7.0,,21.0,8.0,0.0945945945945946,True,0,finished,9.0,False
27,5,Tinashe,Brandon Armstrong,Eliminated Week 4,10,0.0,0.0,0.0,,0.0,,,False,0,eliminated,4.0,True
27,5,Alexis Ren,Alan Bersten,4th Place,4,10.0,9.0,10.0,,29.0,1.5,0.13063063063063063,True,0,finished,9.0,False
27,5,Joe Amabile,Jenna Johnson,Eliminated Week 8,6,6.0,5.0,6.0,,17.0,9.0,0.07657657657657657,True,0,eliminated,8.0,False
28,5,Kate Flannery,Pasha Pashkov,Eliminated Week 8,7,8.0,8.0,8.0,,24.0,5.5,0.11162790697674418,True,0,eliminated,8.0,False
28,5,James Van Der Beek,Emma Slater,Eliminated Week 10,5,9.0,8.0,9.0,,26.0,2.5,0.12093023255813953,True,0,eliminated,10.0,False
28,5,Kel Mitchell,Witney Carson,2nd Place,2,9.0,8.0,9.0,,26.0,2.5,0.12093023255813953,True,0,finished,11.0,False
28,5,Ray Lewis,Cheryl Burke,Withdrew,11,0.0,0.0,0.0,,0.0,,,False,0,withdrew,2.0,True
28,5,Lamar Odom,Peta Murgatroyd,Eliminated Week 4,10,0.0,0.0,0.0,,0.0,,,False,0,eliminated,4.0,True
28,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,Eliminated Week 6,9,8.0,8.0,8.0,,24.0,5.5,0.11162790697674418,True,0,eliminated,6.0,False
28,5,Sean Spicer,Lindsay Arnold,Eliminated Week 9,6,7.0,6.0,6.0,,19.0,9.0,0.08837209302325581,True,0,eliminated,9.0,False
28,5,Mary Wilson,Brandon Armstrong,Eliminated Week 2,12,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
28,5,Lauren Alaina,Gleb Savchenko,4th Place,4,8.0,7.0,8.0,,23.0,7.0,0.10697674418604651,True,0,finished,11.0,False
28,5,Ally Brooke,Sasha Farber,3rd Place,3,9.0,9.0,9.0,,27.0,1.0,0.12558139534883722,True,0,finished,11.0,False
28,5,Karamo Brown,Jenna Johnson,Eliminated Week 7,8,7.0,7.0,7.0,,21.0,8.0,0.09767441860465116,True,0,eliminated,7.0,False
28,5,Hannah Brown,Alan Bersten,1st Place,1,9.0,7.0,9.0,,25.0,4.0,0.11627906976744186,True,0,finished,11.0,False
29,5,Anne Heche,Keo Motsepe,Eliminated Week 4,13,0.0,0.0,0.0,,0.0,,,False,0,eliminated,4.0,True
29,5,Jesse Metcalfe,Sharna Burgess,Eliminated Week 5,12,7.0,6.0,6.0,,19.0,11.5,0.06620209059233449,True,1,eliminated,5.0,False
29,5,Chrishell Stause,Gleb Savchenko,Eliminated Week 8,8,6.0,6.0,7.0,,19.0,11.5,0.06620209059233449,True,0,eliminated,8.0,False
29,5,Skai Jackson,Alan Bersten,Eliminated Week 10,5,8.0,8.0,8.0,,24.0,7.0,0.08362369337979095,True,0,eliminated,10.0,False
29,5,Justina Machado,Sasha Farber,4th Place,4,8.0,8.0,8.0,,24.0,7.0,0.08362369337979095,True,0,finished,11.0,False
29,5,Charles Oakley,Emma Slater,Eliminated Week 2,15,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
29,5,Veron Davis,Peta Murgatroyd,Eliminated Week 6,11,7.0,7.0,7.0,,21.0,10.0,0.07317073170731707,True,0,eliminated,6.0,False
29,5,Johnny Weir,Britt Stewart,Eliminated Week 10,6,10.0,10.0,9.0,,29.0,1.0,0.10104529616724739,True,0,eliminated,10.0,False
29,5,Nev Schulman,Jenna Johnson,2nd Place,2,8.0,9.0,9.0,,26.0,3.5,0.09059233449477352,True,0,finished,11.0,False
29,5,AJ McLean,Cheryl Burke,Eliminated Week 9,7,8.0,8.0,8.0,,24.0,7.0,0.08362369337979095,True,0,eliminated,9.0,False
29,5,Nelly,Daniella Karagach,3rd Place,3,8.0,8.0,8.0,,24.0,7.0,0.08362369337979095,True,0,finished,11.0,False
29,5,Kaitlyn Bristowe,Artem Chigvintsev,1st Place,1,9.0,9.0,9.0,,27.0,2.0,0.09407665505226481,True,0,finished,11.0,False
29,5,Carole Baskin,Pasha Pashkov,Eliminated Week 3,14,0.0,0.0,0.0,,0.0,,,False,0,eliminated,3.0,True
29,5,Monica Aldama,Valentin Chmerkovskiy,Eliminated Week 7,10,9.0,9.0,8.0,,26.0,3.5,0.09059233449477352,True,0,eliminated,7.0,False
29,5,Jeannie Mai,Brandon Armstrong,Withdrew,9,8.0,8.0,8.0,,24.0,7.0,0.08362369337979095,True,0,withdrew,7.0,False
30,5,Martin Kove,Britt Stewart,Eliminated Week 2,15,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,2.0,True
30,5,Brian Austin Green,Sharna Burgess,Eliminated Week 4,13,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,4.0,True
30,5,Melora Hardin,Artem Chigvintsev,Eliminated Week 9,6,9.0,9.0,9.0,9.0,36.0,5.0,0.09350649350649351,True,0,eliminated,9.0,False
30,5,Matt James,Lindsay Arnold,Eliminated Week 4,12,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,4.0,True
30,5,"Mike ""The Miz"" Mizanin",Witney Carson,Eliminated Week 7,9,8.0,8.0,8.0,8.0,32.0,9.5,0.08311688311688312,True,0,eliminated,7.0,False
30,5,Suni Lee,Sasha Farber,Eliminated Week 9,5,9.0,9.0,9.0,9.0,36.0,5.0,0.09350649350649351,True,0,eliminated,9.0,False
30,5,Iman Shumpert,Daniella Karagach,1st Place,1,7.0,7.0,7.0,7.0,28.0,11.0,0.07272727272727272,True,0,finished,10.0,False
30,5,Cody Rigsby,Cheryl Burke,3rd Place,3,8.0,8.0,8.0,8.0,32.0,9.5,0.08311688311688312,True,0,finished,10.0,False
30,5,Melanie C,Gleb Savchenko,Eliminated Week 5,11,9.0,9.0,9.0,9.0,36.0,5.0,0.09350649350649351,True,1,eliminated,5.0,False
30,5,Jimmie Allen,Emma Slater,Eliminated Week 8,7,8.0,8.0,9.0,9.0,34.0,8.0,0.08831168831168831,True,0,eliminated,8.0,False
30,5,Olivia Jade,Valentin Chmerkovskiy,Eliminated Week 8,8,9.0,9.0,9.0,9.0,36.0,5.0,0.09350649350649351,True,0,eliminated,8.0,False
30,5,JoJo Siwa,Jenna Johnson,2nd Place,2,10.0,10.0,10.0,10.0,40.0,1.0,0.1038961038961039,True,0,finished,10.0,False
30,5,Christine Chiu,Pasha Pashkov,Eliminated Week 3,14,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,3.0,True
30,5,Kenya Moore,Brandon Armstrong,Eliminated Week 6,10,9.0,9.0,9.0,9.0,36.0,5.0,0.09350649350649351,True,0,eliminated,6.0,False
30,5,Amanda Kloots,Alan Bersten,4th Place,4,10.0,10.0,9.0,10.0,39.0,2.0,0.1012987012987013,True,0,finished,10.0,False
31,5,Jason Lewis,Peta Murgatroyd,Eliminated Week 1,16,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,1.0,True
31,5,Cheryl Ladd,Louis van Amstel,Eliminated Week 3,14,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,3.0,True
31,5,Selma Blair,Sasha Farber,Withdrew,12,10.0,10.0,10.0,10.0,40.0,4.0,0.08918617614269789,True,0,withdrew,5.0,False
31,5,Joseph Baena,Daniella Karagach,Eliminated Week 5,11,9.0,8.5,9.0,8.5,35.0,10.0,0.07803790412486064,True,1,eliminated,5.0,False
31,5,Trevor Donovan,Emma Slater,Eliminated Week 9,6,9.0,9.0,9.0,9.0,36.0,7.5,0.0802675585284281,True,0,eliminated,9.0,False
31,5,Daniel Durant,Britt Stewart,Eliminated Week 9,5,8.125,8.125,8.625,8.625,33.5,11.0,0.07469342251950947,True,0,eliminated,9.0,False
31,5,Wayne Brady,Witney Carson,3rd Place,3,10.125,10.125,10.125,10.625,41.0,2.5,0.09141583054626533,True,0,finished,10.0,False
31,5,Sam Champion,Cheryl Burke,Eliminated Week 4,13,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,4.0,True
31,5,Jessie James Decker,Alan Bersten,Eliminated Week 6,10,8.875,8.875,9.375,8.875,36.0,7.5,0.0802675585284281,True,0,eliminated,6.0,False
31,5,Jordin Sparks,Brandon Armstrong,Eliminated Week 7,9,8.875,8.375,8.875,9.375,35.5,9.0,0.07915273132664437,True,0,eliminated,7.0,False
31,5,Heidi D'Amelio,Artem Chigvintsev,Eliminated Week 8,8,9.625,10.125,9.625,9.625,39.0,5.0,0.08695652173913043,True,0,eliminated,8.0,False
31,5,Charli D'Amelio,Mark Ballas,1st Place,1,10.375,10.375,10.375,10.875,42.0,1.0,0.09364548494983277,True,0,finished,10.0,False
31,5,Teresa Giudice,Pasha Pashkov,Eliminated Week 2,15,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,2.0,True
31,5,Vinny Guadagnino,Koko Iwasaki,Eliminated Week 8,7,7.75,7.75,7.75,7.75,31.0,12.0,0.06911928651059086,True,0,eliminated,8.0,False
31,5,Shangela,Gleb Savchenko,4th Place,4,9.75,9.25,9.75,9.75,38.5,6.0,0.0858416945373467,True,0,finished,10.0,False
31,5,Gabby Windey,Valentin Chmerkovskiy,2nd Place,2,10.25,10.25,10.25,10.25,41.0,2.5,0.09141583054626533,True,0,finished,10.0,False
32,5,Jamie Lynn Spears,Alan Bersten,Eliminated Week 2,13,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
32,5,Mira Sorvino,Gleb Savchenko,Eliminated Week 5,10,7.0,8.0,7.0,,22.0,8.0,0.09166666666666666,True,1,eliminated,5.0,False
32,5,Barry Williams,Peta Murgatroyd,Eliminated Week 8,7,8.0,8.0,8.0,,24.0,5.5,0.1,True,0,eliminated,8.0,False
32,5,Alyson Hannigan,Sasha Farber,5th Place,5,7.0,7.0,7.0,,21.0,9.0,0.0875,True,0,finished,11.0,False
32,5,Xochitl Gomez,Valentin Chmerkovskiy,1st Place,1,9.0,10.0,9.0,,28.0,1.5,0.11666666666666667,True,0,finished,11.0,False
32,5,Adrian Peterson,Britt Stewart,Eliminated Week 4,11,0.0,0.0,0.0,,0.0,,,False,0,eliminated,4.0,True
32,5,Matt Walsh,Koko Iwasaki,Eliminated Week 1,14,0.0,0.0,0.0,,0.0,,,False,0,eliminated,1.0,True
32,5,Tyson Beckford,Jenna Johnson,Eliminated Week 3,12,0.0,0.0,0.0,,0.0,,,False,0,eliminated,3.0,True
32,5,Jason Mraz,Daniella Karagach,2nd Place,2,9.0,9.0,9.0,,27.0,3.0,0.1125,True,0,finished,11.0,False
32,5,Lele Pons,Brandon Armstrong,Eliminated Week 7,8,8.0,8.0,8.0,,24.0,5.5,0.1,True,0,eliminated,7.0,False
32,5,Harry Jowsey,Rylee Arnold,Eliminated Week 9,6,6.0,6.0,6.0,,18.0,10.0,0.075,True,0,eliminated,9.0,False
32,5,Mauricio Umansky,Emma Slater,Eliminated Week 6,9,8.0,8.0,8.0,,24.0,5.5,0.1,True,0,eliminated,6.0,False
32,5,Charity Lawson,Artem Chigvintsev,4th Place,4,10.0,9.0,9.0,,28.0,1.5,0.11666666666666667,True,0,finished,11.0,False
32,5,Ariana Madix,Pasha Pashkov,3rd Place,3,8.0,8.0,8.0,,24.0,5.5,0.1,True,0,finished,11.0,False
33,5,Tori Spelling,Pasha Pashkov,Eliminated Week 2,12,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
33,5,Eric Roberts,Britt Stewart,Eliminated Week 3,10,0.0,0.0,0.0,,0.0,,,False,0,eliminated,3.0,True
33,5,Reginald VelJohnson,Emma Slater,Eliminated Week 3,10,0.0,0.0,0.0,,0.0,,,False,0,eliminated,3.0,True
33,5,Chandler Kinney,Brandon Armstrong,3rd Place,3,9.0,9.0,9.0,,27.0,1.0,0.13366336633663367,True,0,finished,9.0,False
33,5,Dwight Howard ,Daniella Karagach,Eliminated Week 7,6,8.0,8.0,8.0,,24.0,7.0,0.1188118811881188,True,0,eliminated,7.0,False
33,5,Danny Amendola,Witney Carson,5th Place,5,8.5,8.5,8.5,,25.5,4.5,0.12623762376237624,True,0,finished,9.0,False
33,5,Stephen Nedoroscik,Rylee Arnold,4th Place,4,8.0,8.0,8.0,,24.0,7.0,0.1188118811881188,True,0,finished,9.0,False
33,5,Ilona Maher,Alan Bersten,2nd Place,2,9.0,8.5,8.5,,26.0,2.5,0.12871287128712872,True,0,finished,9.0,False
33,5,Anna Delvey,Ezra Sosa,Eliminated Week 2,12,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
33,5,Brooks Nader,Gleb Savchenko,Eliminated Week 4,9,0.0,0.0,0.0,,0.0,,,False,0,eliminated,4.0,True
33,5,Phaedra Parks,Val Chmerkovskiy,Eliminated Week 5,8,8.0,8.0,8.0,,24.0,7.0,0.1188118811881188,True,1,eliminated,5.0,False
